failure_mode_id,cost_ratio_fa_over_miss,lambda_cost,s0,first_action,set_size,n_diversify,n_scale
MMLU,0.0,0.0,mistral7b,DIVERSIFY,2,1,0
MMLU,0.0,0.05,mistral7b,DIVERSIFY,2,1,0
MMLU,0.0,0.1,mistral7b,DIVERSIFY,2,1,0
MMLU,0.0,0.2,mistral7b,DIVERSIFY,2,1,0
MMLU,0.0,0.4,qwen7b,DIVERSIFY,2,1,0
MMLU,0.0,0.8,qwen7b,STOP,1,0,0
MMLU,0.25,0.0,mistral7b,DIVERSIFY,2,1,0
MMLU,0.25,0.05,mistral7b,DIVERSIFY,2,1,0
MMLU,0.25,0.1,mistral7b,DIVERSIFY,2,1,0
MMLU,0.25,0.2,qwen7b,DIVERSIFY,2,1,0
MMLU,0.25,0.4,qwen7b,DIVERSIFY,3,2,0
MMLU,0.25,0.8,qwen7b,STOP,1,0,0
MMLU,0.5,0.0,llama31,DIVERSIFY,3,2,0
MMLU,0.5,0.05,qwen7b,DIVERSIFY,3,2,0
MMLU,0.5,0.1,qwen7b,DIVERSIFY,3,2,0
MMLU,0.5,0.2,qwen7b,DIVERSIFY,3,2,0
MMLU,0.5,0.4,qwen7b,DIVERSIFY,3,2,0
MMLU,0.5,0.8,qwen7b,STOP,1,0,0
MMLU,1.0,0.0,llama31,DIVERSIFY,4,3,0
MMLU,1.0,0.05,llama31,DIVERSIFY,3,2,0
MMLU,1.0,0.1,llama31,DIVERSIFY,3,2,0
MMLU,1.0,0.2,llama31,DIVERSIFY,3,2,0
MMLU,1.0,0.4,llama31,DIVERSIFY,2,1,0
MMLU,1.0,0.8,llama31,STOP,1,0,0
MMLU,2.0,0.0,llama31,DIVERSIFY,3,2,0
MMLU,2.0,0.05,llama31,DIVERSIFY,3,2,0
MMLU,2.0,0.1,llama31,DIVERSIFY,3,2,0
MMLU,2.0,0.2,llama31,DIVERSIFY,3,2,0
MMLU,2.0,0.4,llama31,STOP,1,0,0
MMLU,2.0,0.8,llama31,STOP,1,0,0
MMLU,4.0,0.0,llama31,DIVERSIFY,3,2,0
MMLU,4.0,0.05,llama31,STOP,1,0,0
MMLU,4.0,0.1,llama31,STOP,1,0,0
MMLU,4.0,0.2,llama31,STOP,1,0,0
MMLU,4.0,0.4,llama31,STOP,1,0,0
MMLU,4.0,0.8,llama31,STOP,1,0,0
