pairing_condition,failure_mode_id,k,false_alarm_rate,n,ci_low,ci_high
cross_family_3,FM-3.3,1,0.2,20,0.05,0.4
cross_family_3,FM-3.3,2,0.5,20,0.3,0.7
cross_family_3,FM-3.3,3,0.8,20,0.6,0.95
cross_family_3,FM-3.3,4,0.8,20,0.6,0.95
cross_family_3,FM-3.3,5,0.8,20,0.6,0.95
cross_family_3,FM-3.3,6,0.8,20,0.6,0.95
cross_family_3,FM-3.3,7,0.8,20,0.6,0.95
cross_family_3,FM-3.3,8,0.9,20,0.75,1.0
cross_family_3,FM-3.3,9,0.95,20,0.85,1.0
cross_family_3,FM-3.3,10,0.95,20,0.85,1.0
cross_family_3,FM-3.3,11,0.95,20,0.85,1.0
cross_family_3,FM-3.3,12,0.95,20,0.85,1.0
cross_family_3,FM-3.3,13,0.95,20,0.85,1.0
cross_family_3,FM-3.3,14,0.95,20,0.85,1.0
cross_family_3,FM-3.3,15,0.95,20,0.85,1.0
cross_family_3,FM-3.3,16,0.95,20,0.85,1.0
cross_family_3,FM-3.3,17,0.95,20,0.85,1.0
cross_family_3,FM-3.3,18,0.95,20,0.85,1.0
cross_family_3,FM-3.3,19,0.95,20,0.85,1.0
cross_family_3,FM-3.3,20,0.95,20,0.85,1.0
cross_family_3,FM-3.3,21,0.95,20,0.85,1.0
cross_family_3,FM-3.3,22,0.95,20,0.85,1.0
cross_family_3,FM-3.3,23,0.95,20,0.85,1.0
cross_family_3,FM-3.3,24,0.95,20,0.85,1.0
cross_family_3,FM-3.3,25,0.95,20,0.85,1.0
cross_family_3,FM-3.3,26,0.95,20,0.85,1.0
cross_family_3,FM-3.3,27,0.95,20,0.85,1.0
cross_family_3,FM-3.3,28,0.95,20,0.85,1.0
cross_family_3,FM-3.3,29,0.95,20,0.85,1.0
cross_family_3,FM-3.3,30,0.95,20,0.85,1.0
cross_family_3,FM-3.3,31,0.95,20,0.85,1.0
cross_family_3,FM-3.3,32,0.95,20,0.85,1.0
cross_family_3,FM-3.3,33,0.95,20,0.85,1.0
cross_family_3,FM-3.3,34,0.95,20,0.85,1.0
cross_family_3,FM-3.3,35,0.95,20,0.85,1.0
cross_family_3,FM-3.3,36,0.95,20,0.85,1.0
cross_family_3,FM-3.3,37,0.95,20,0.85,1.0
cross_family_3,FM-3.3,38,0.95,20,0.85,1.0
cross_family_3,FM-3.3,39,0.95,20,0.85,1.0
cross_family_3,FM-3.3,40,0.95,20,0.85,1.0
cross_family_3,FM-3.3,41,0.95,20,0.85,1.0
cross_family_3,FM-3.3,42,0.95,20,0.85,1.0
cross_family_3,FM-3.3,43,0.95,20,0.85,1.0
cross_family_3,FM-3.3,44,0.95,20,0.85,1.0
cross_family_3,FM-3.3,45,0.95,20,0.85,1.0
cross_family_3,FM-3.3,46,0.95,20,0.85,1.0
cross_family_3,FM-3.3,47,0.95,20,0.85,1.0
cross_family_3,FM-3.3,48,0.95,20,0.85,1.0
