pairing_condition,failure_mode_id,k,false_alarm_rate,n,ci_low,ci_high
same_model,FM-3.3,1,0.25,20,0.1,0.45
same_model,FM-3.3,2,0.3,20,0.1488,0.5
same_model,FM-3.3,3,0.3,20,0.1488,0.5
same_model,FM-3.3,4,0.3,20,0.1488,0.5
same_model,FM-3.3,5,0.3,20,0.1488,0.5
same_model,FM-3.3,6,0.3,20,0.1488,0.5
same_model,FM-3.3,7,0.3,20,0.1488,0.5
same_model,FM-3.3,8,0.3,20,0.1488,0.5
same_model,FM-3.3,9,0.3,20,0.1488,0.5
same_model,FM-3.3,10,0.3,20,0.1488,0.5
same_model,FM-3.3,11,0.3,20,0.1488,0.5
same_model,FM-3.3,12,0.3,20,0.1488,0.5
same_model,FM-3.3,13,0.3,20,0.1488,0.5
same_model,FM-3.3,14,0.3,20,0.1488,0.5
same_model,FM-3.3,15,0.3,20,0.1488,0.5
same_model,FM-3.3,16,0.3,20,0.1488,0.5
same_model,FM-3.3,17,0.3,20,0.1488,0.5
same_model,FM-3.3,18,0.3,20,0.1488,0.5
same_model,FM-3.3,19,0.3,20,0.1488,0.5
same_model,FM-3.3,20,0.3,20,0.1488,0.5
same_model,FM-3.3,21,0.3,20,0.1488,0.5
same_model,FM-3.3,22,0.3,20,0.1488,0.5
same_model,FM-3.3,23,0.3,20,0.1488,0.5
same_model,FM-3.3,24,0.3,20,0.1488,0.5
same_model,FM-3.3,25,0.3,20,0.1488,0.5
same_model,FM-3.3,26,0.3,20,0.1488,0.5
same_model,FM-3.3,27,0.3,20,0.1488,0.5
same_model,FM-3.3,28,0.3,20,0.1488,0.5
same_model,FM-3.3,29,0.3,20,0.1488,0.5
same_model,FM-3.3,30,0.3,20,0.1488,0.5
same_model,FM-3.3,31,0.3,20,0.1488,0.5
same_model,FM-3.3,32,0.3,20,0.1488,0.5
same_model,FM-3.3,33,0.3,20,0.1488,0.5
same_model,FM-3.3,34,0.35,20,0.15,0.55
same_model,FM-3.3,35,0.35,20,0.15,0.55
same_model,FM-3.3,36,0.35,20,0.15,0.55
same_model,FM-3.3,37,0.35,20,0.15,0.55
same_model,FM-3.3,38,0.35,20,0.15,0.55
same_model,FM-3.3,39,0.35,20,0.15,0.55
same_model,FM-3.3,40,0.35,20,0.15,0.55
same_model,FM-3.3,41,0.35,20,0.15,0.55
same_model,FM-3.3,42,0.35,20,0.15,0.55
same_model,FM-3.3,43,0.35,20,0.15,0.55
same_model,FM-3.3,44,0.35,20,0.15,0.55
same_model,FM-3.3,45,0.35,20,0.15,0.55
same_model,FM-3.3,46,0.35,20,0.15,0.55
same_model,FM-3.3,47,0.35,20,0.15,0.55
same_model,FM-3.3,48,0.35,20,0.15,0.55
same_model,FM-3.3,49,0.35,20,0.15,0.55
same_model,FM-3.3,50,0.35,20,0.15,0.55
