failure_mode_id,cost_ratio_fa_over_miss,lambda_cost,s0,first_action,set_size,n_diversify,n_scale
GSM8K,0.0,0.0,llama31,DIVERSIFY,2,1,0
GSM8K,0.0,0.05,llama31,DIVERSIFY,2,1,0
GSM8K,0.0,0.1,llama31,DIVERSIFY,2,1,0
GSM8K,0.0,0.2,llama31,STOP,1,0,0
GSM8K,0.0,0.4,qwen7b,STOP,1,0,0
GSM8K,0.0,0.8,qwen7b,STOP,1,0,0
GSM8K,0.25,0.0,llama31,DIVERSIFY,2,1,0
GSM8K,0.25,0.05,llama31,DIVERSIFY,2,1,0
GSM8K,0.25,0.1,llama31,DIVERSIFY,2,1,0
GSM8K,0.25,0.2,qwen7b,STOP,1,0,0
GSM8K,0.25,0.4,qwen7b,STOP,1,0,0
GSM8K,0.25,0.8,qwen7b,STOP,1,0,0
GSM8K,0.5,0.0,llama31,DIVERSIFY,2,1,0
GSM8K,0.5,0.05,llama31,DIVERSIFY,2,1,0
GSM8K,0.5,0.1,qwen7b,DIVERSIFY,2,1,0
GSM8K,0.5,0.2,qwen7b,STOP,1,0,0
GSM8K,0.5,0.4,qwen7b,STOP,1,0,0
GSM8K,0.5,0.8,qwen7b,STOP,1,0,0
GSM8K,1.0,0.0,qwen7b,DIVERSIFY,2,1,1
GSM8K,1.0,0.05,qwen7b,STOP,1,0,0
GSM8K,1.0,0.1,qwen7b,STOP,1,0,0
GSM8K,1.0,0.2,qwen7b,STOP,1,0,0
GSM8K,1.0,0.4,qwen7b,STOP,1,0,0
GSM8K,1.0,0.8,qwen7b,STOP,1,0,0
GSM8K,2.0,0.0,qwen7b,STOP,1,0,0
GSM8K,2.0,0.05,qwen7b,STOP,1,0,0
GSM8K,2.0,0.1,qwen7b,STOP,1,0,0
GSM8K,2.0,0.2,qwen7b,STOP,1,0,0
GSM8K,2.0,0.4,qwen7b,STOP,1,0,0
GSM8K,2.0,0.8,qwen7b,STOP,1,0,0
GSM8K,4.0,0.0,llama32_3b,STOP,1,0,0
GSM8K,4.0,0.05,llama32_3b,STOP,1,0,0
GSM8K,4.0,0.1,llama32_3b,STOP,1,0,0
GSM8K,4.0,0.2,llama32_3b,STOP,1,0,0
GSM8K,4.0,0.4,llama32_3b,STOP,1,0,0
GSM8K,4.0,0.8,llama32_3b,STOP,1,0,0
