family,rho,rung,catch,fa,U_test,U_cal,opt_gap,setsize,g_mode,nonOR_share
ARC,0.0,fixed_OR,0.901,0.229,0.901,0.898,0.004,1.0,OR,0.0
CSQA,0.0,fixed_OR,0.891,0.304,0.891,0.898,-0.006,1.0,OR,0.0
GSM8K,0.0,fixed_OR,0.953,0.934,0.953,0.953,0.0,1.0,OR,0.0
MBPP,0.0,fixed_OR,0.866,0.709,0.866,0.869,-0.003,1.0,OR,0.0
MMLU,0.0,fixed_OR,0.826,0.345,0.826,0.829,-0.003,1.0,OR,0.0
TruthfulQA,0.0,fixed_OR,0.761,0.218,0.761,0.758,0.004,1.0,OR,0.0
ARC,0.0,joint,0.901,0.229,0.901,0.898,0.004,1.0,OR,0.0
CSQA,0.0,joint,0.891,0.304,0.891,0.898,-0.006,1.0,OR,0.0
GSM8K,0.0,joint,0.979,0.979,0.979,0.987,-0.008,1.0,stack,0.65
MBPP,0.0,joint,0.914,0.836,0.914,0.922,-0.007,1.0,stack,0.61
MMLU,0.0,joint,0.831,0.371,0.831,0.836,-0.005,1.03,OR,0.06
TruthfulQA,0.0,joint,0.766,0.239,0.766,0.767,-0.001,1.02,OR,0.1
ARC,0.0,topology_only,0.901,0.229,0.901,0.898,0.004,1.0,OR,0.0
CSQA,0.0,topology_only,0.891,0.304,0.891,0.898,-0.006,1.0,OR,0.0
GSM8K,0.0,topology_only,0.979,0.979,0.979,0.987,-0.008,1.0,stack,0.65
MBPP,0.0,topology_only,0.914,0.836,0.914,0.922,-0.007,1.0,stack,0.61
MMLU,0.0,topology_only,0.827,0.352,0.827,0.832,-0.005,1.0,OR,0.04
TruthfulQA,0.0,topology_only,0.763,0.226,0.763,0.763,-0.0,1.0,OR,0.09
ARC,0.25,fixed_OR,0.901,0.229,0.844,0.842,0.002,1.0,OR,0.0
CSQA,0.25,fixed_OR,0.891,0.304,0.815,0.82,-0.005,1.0,OR,0.0
GSM8K,0.25,fixed_OR,0.922,0.898,0.697,0.714,-0.017,1.0,OR,0.0
MBPP,0.25,fixed_OR,0.86,0.694,0.687,0.7,-0.013,1.0,OR,0.0
MMLU,0.25,fixed_OR,0.824,0.346,0.737,0.742,-0.005,1.0,OR,0.0
TruthfulQA,0.25,fixed_OR,0.762,0.216,0.708,0.705,0.003,1.0,OR,0.0
ARC,0.25,joint,0.901,0.229,0.844,0.842,0.002,1.0,OR,0.0
CSQA,0.25,joint,0.891,0.304,0.815,0.82,-0.005,1.0,OR,0.0
GSM8K,0.25,joint,0.958,0.955,0.719,0.74,-0.021,1.0,stack,0.51
MBPP,0.25,joint,0.898,0.793,0.699,0.722,-0.022,1.0,OR,0.32
MMLU,0.25,joint,0.824,0.349,0.737,0.743,-0.006,1.0,OR,0.01
TruthfulQA,0.25,joint,0.764,0.23,0.707,0.708,-0.001,1.01,OR,0.03
ARC,0.25,topology_only,0.901,0.229,0.844,0.842,0.002,1.0,OR,0.0
CSQA,0.25,topology_only,0.891,0.304,0.815,0.82,-0.005,1.0,OR,0.0
GSM8K,0.25,topology_only,0.958,0.955,0.719,0.74,-0.021,1.0,stack,0.51
MBPP,0.25,topology_only,0.902,0.804,0.701,0.722,-0.02,1.0,OR,0.38
MMLU,0.25,topology_only,0.824,0.346,0.737,0.742,-0.005,1.0,OR,0.01
TruthfulQA,0.25,topology_only,0.763,0.224,0.707,0.706,0.002,1.0,OR,0.02
ARC,0.5,fixed_OR,0.901,0.229,0.787,0.786,0.0,1.0,OR,0.0
CSQA,0.5,fixed_OR,0.891,0.304,0.739,0.742,-0.003,1.0,OR,0.0
GSM8K,0.5,fixed_OR,0.45,0.257,0.322,0.359,-0.038,1.0,OR,0.0
MBPP,0.5,fixed_OR,0.83,0.581,0.54,0.581,-0.04,1.0,OR,0.0
MMLU,0.5,fixed_OR,0.822,0.347,0.648,0.655,-0.007,1.0,OR,0.0
TruthfulQA,0.5,fixed_OR,0.762,0.216,0.654,0.652,0.001,1.0,OR,0.0
ARC,0.5,joint,0.901,0.229,0.787,0.786,0.0,1.0,OR,0.0
CSQA,0.5,joint,0.891,0.304,0.739,0.742,-0.003,1.0,OR,0.0
GSM8K,0.5,joint,0.962,0.956,0.484,0.504,-0.021,1.0,stack,0.81
MBPP,0.5,joint,0.835,0.592,0.539,0.582,-0.044,1.0,OR,0.04
MMLU,0.5,joint,0.822,0.347,0.648,0.655,-0.007,1.0,OR,0.0
TruthfulQA,0.5,joint,0.762,0.216,0.654,0.652,0.001,1.0,OR,0.0
ARC,0.5,topology_only,0.901,0.229,0.787,0.786,0.0,1.0,OR,0.0
CSQA,0.5,topology_only,0.891,0.304,0.739,0.742,-0.003,1.0,OR,0.0
GSM8K,0.5,topology_only,0.962,0.956,0.484,0.504,-0.021,1.0,stack,0.81
MBPP,0.5,topology_only,0.835,0.592,0.539,0.582,-0.044,1.0,OR,0.04
MMLU,0.5,topology_only,0.822,0.347,0.648,0.655,-0.007,1.0,OR,0.0
TruthfulQA,0.5,topology_only,0.762,0.216,0.654,0.652,0.001,1.0,OR,0.0
ARC,1.0,fixed_OR,0.901,0.229,0.672,0.675,-0.003,1.0,OR,0.0
CSQA,1.0,fixed_OR,0.875,0.303,0.572,0.591,-0.019,1.0,OR,0.0
GSM8K,1.0,fixed_OR,0.355,0.109,0.246,0.245,0.001,1.0,OR,0.0
MBPP,1.0,fixed_OR,0.655,0.303,0.352,0.424,-0.071,1.0,OR,0.0
MMLU,1.0,fixed_OR,0.814,0.351,0.464,0.486,-0.022,1.0,OR,0.0
TruthfulQA,1.0,fixed_OR,0.762,0.216,0.546,0.548,-0.002,1.0,OR,0.0
ARC,1.0,joint,0.901,0.229,0.672,0.675,-0.003,1.0,OR,0.0
CSQA,1.0,joint,0.875,0.303,0.572,0.591,-0.019,1.0,OR,0.0
GSM8K,1.0,joint,0.355,0.109,0.246,0.245,0.001,1.0,OR,0.0
MBPP,1.0,joint,0.655,0.303,0.352,0.424,-0.071,1.0,OR,0.0
MMLU,1.0,joint,0.814,0.351,0.464,0.486,-0.022,1.0,OR,0.0
TruthfulQA,1.0,joint,0.762,0.216,0.546,0.548,-0.002,1.0,OR,0.0
ARC,1.0,topology_only,0.901,0.229,0.672,0.675,-0.003,1.0,OR,0.0
CSQA,1.0,topology_only,0.875,0.303,0.572,0.591,-0.019,1.0,OR,0.0
GSM8K,1.0,topology_only,0.355,0.109,0.246,0.245,0.001,1.0,OR,0.0
MBPP,1.0,topology_only,0.655,0.303,0.352,0.424,-0.071,1.0,OR,0.0
MMLU,1.0,topology_only,0.814,0.351,0.464,0.486,-0.022,1.0,OR,0.0
TruthfulQA,1.0,topology_only,0.762,0.216,0.546,0.548,-0.002,1.0,OR,0.0
ARC,2.0,fixed_OR,0.878,0.225,0.429,0.454,-0.026,1.0,OR,0.0
CSQA,2.0,fixed_OR,0.801,0.284,0.234,0.334,-0.1,1.0,OR,0.0
GSM8K,2.0,fixed_OR,0.29,0.091,0.108,0.147,-0.039,1.0,OR,0.0
MBPP,2.0,fixed_OR,0.553,0.18,0.194,0.23,-0.037,1.0,OR,0.0
