pairing_condition,failure_mode_id,false_alarm_cost,k_best_equal_weight,gates_help_equal_weight,k_best_mast_prevalence,gates_help_mast_prevalence,mast_prevalence
cross_family_3,FM-3.3,0.1,35,True,6,True,0.235
cross_family_3,FM-3.3,0.25,6,True,6,True,0.235
cross_family_3,FM-3.3,0.5,6,True,1,False,0.235
cross_family_3,FM-3.3,1.0,6,True,1,False,0.235
cross_family_3,FM-3.3,2.0,1,False,1,False,0.235
cross_family_3,FM-3.3,4.0,1,False,1,False,0.235
cross_family_3,FM-3.3,10.0,1,False,1,False,0.235
diverse_matched,FM-3.3,0.1,16,True,16,True,0.235
diverse_matched,FM-3.3,0.25,16,True,16,True,0.235
diverse_matched,FM-3.3,0.5,16,True,1,False,0.235
diverse_matched,FM-3.3,1.0,16,True,1,False,0.235
diverse_matched,FM-3.3,2.0,1,False,1,False,0.235
diverse_matched,FM-3.3,4.0,1,False,1,False,0.235
diverse_matched,FM-3.3,10.0,1,False,1,False,0.235
qwen_flip,FM-3.3,0.1,28,True,28,True,0.235
qwen_flip,FM-3.3,0.25,28,True,12,True,0.235
qwen_flip,FM-3.3,0.5,12,True,1,False,0.235
qwen_flip,FM-3.3,1.0,3,True,1,False,0.235
qwen_flip,FM-3.3,2.0,1,False,1,False,0.235
qwen_flip,FM-3.3,4.0,1,False,1,False,0.235
qwen_flip,FM-3.3,10.0,1,False,1,False,0.235
same_family,FM-3.3,0.1,26,True,26,True,0.235
same_family,FM-3.3,0.25,26,True,3,True,0.235
same_family,FM-3.3,0.5,26,True,3,True,0.235
same_family,FM-3.3,1.0,3,True,1,False,0.235
same_family,FM-3.3,2.0,1,False,1,False,0.235
same_family,FM-3.3,4.0,1,False,1,False,0.235
same_family,FM-3.3,10.0,1,False,1,False,0.235
same_model,FM-3.3,0.1,17,True,17,True,0.235
same_model,FM-3.3,0.25,17,True,17,True,0.235
same_model,FM-3.3,0.5,17,True,17,True,0.235
same_model,FM-3.3,1.0,17,True,1,False,0.235
same_model,FM-3.3,2.0,17,True,1,False,0.235
same_model,FM-3.3,4.0,1,False,1,False,0.235
same_model,FM-3.3,10.0,1,False,1,False,0.235
same_model_mistral,FM-3.3,0.1,25,True,25,True,0.235
same_model_mistral,FM-3.3,0.25,25,True,25,True,0.235
same_model_mistral,FM-3.3,0.5,25,True,25,True,0.235
same_model_mistral,FM-3.3,1.0,25,True,5,True,0.235
same_model_mistral,FM-3.3,2.0,5,True,1,False,0.235
same_model_mistral,FM-3.3,4.0,1,False,1,False,0.235
same_model_mistral,FM-3.3,10.0,1,False,1,False,0.235
