chi,lambda,k_star
0.0,0.005,8.0
0.089,0.005,8.0
0.178,0.005,8.0
0.267,0.005,8.0
0.356,0.005,8.0
0.444,0.005,8.0
0.533,0.005,8.0
0.622,0.005,8.0
0.711,0.005,8.0
0.8,0.005,8.0
0.0,0.0178,3.0
0.089,0.0178,3.0
0.178,0.0178,3.17
0.267,0.0178,4.17
0.356,0.0178,4.83
0.444,0.0178,5.33
0.533,0.0178,6.0
0.622,0.0178,7.0
0.711,0.0178,8.0
0.8,0.0178,8.0
0.0,0.0306,2.0
0.089,0.0306,2.0
0.178,0.0306,3.0
0.267,0.0306,3.0
0.356,0.0306,3.83
0.444,0.0306,4.0
0.533,0.0306,5.0
0.622,0.0306,5.33
0.711,0.0306,6.33
0.8,0.0306,7.33
0.0,0.0433,2.0
0.089,0.0433,2.0
0.178,0.0433,2.0
0.267,0.0433,3.0
0.356,0.0433,3.0
0.444,0.0433,4.0
0.533,0.0433,4.0
0.622,0.0433,4.67
0.711,0.0433,5.5
0.8,0.0433,6.0
0.0,0.0561,1.0
0.089,0.0561,2.0
0.178,0.0561,2.0
0.267,0.0561,2.33
0.356,0.0561,3.0
0.444,0.0561,3.0
0.533,0.0561,4.0
0.622,0.0561,4.0
0.711,0.0561,4.67
0.8,0.0561,5.0
0.0,0.0689,1.0
0.089,0.0689,2.0
0.178,0.0689,2.0
0.267,0.0689,2.0
0.356,0.0689,2.83
0.444,0.0689,3.0
0.533,0.0689,3.0
0.622,0.0689,3.67
0.711,0.0689,4.0
0.8,0.0689,4.33
0.0,0.0817,1.0
0.089,0.0817,2.0
0.178,0.0817,2.0
0.267,0.0817,2.0
0.356,0.0817,2.0
0.444,0.0817,3.0
0.533,0.0817,3.0
0.622,0.0817,3.17
0.711,0.0817,3.67
0.8,0.0817,4.0
0.0,0.0944,1.0
0.089,0.0944,1.17
0.178,0.0944,2.0
0.267,0.0944,2.0
0.356,0.0944,2.0
0.444,0.0944,2.17
0.533,0.0944,3.0
0.622,0.0944,3.0
0.711,0.0944,3.0
0.8,0.0944,3.17
0.0,0.1072,1.0
0.089,0.1072,1.0
0.178,0.1072,2.0
0.267,0.1072,2.0
0.356,0.1072,2.0
0.444,0.1072,2.0
0.533,0.1072,2.5
0.622,0.1072,3.0
0.711,0.1072,3.0
0.8,0.1072,3.0
0.0,0.12,1.0
0.089,0.12,1.0
0.178,0.12,1.83
0.267,0.12,2.0
0.356,0.12,2.0
0.444,0.12,2.0
0.533,0.12,2.0
0.622,0.12,2.5
0.711,0.12,3.0
0.8,0.12,2.5
