pairing_condition,failure_mode_id,k,reliability,n,ci_low,ci_high
cross_family_3,FM-3.3,1,0.15,40,0.05,0.275
cross_family_3,FM-3.3,2,0.55,40,0.4,0.7
cross_family_3,FM-3.3,3,0.825,40,0.7,0.925
cross_family_3,FM-3.3,4,0.825,40,0.7,0.925
cross_family_3,FM-3.3,5,0.925,40,0.8494,1.0
cross_family_3,FM-3.3,6,0.975,40,0.925,1.0
cross_family_3,FM-3.3,7,0.975,40,0.925,1.0
cross_family_3,FM-3.3,8,0.975,40,0.925,1.0
cross_family_3,FM-3.3,9,0.975,40,0.925,1.0
cross_family_3,FM-3.3,10,0.975,40,0.925,1.0
cross_family_3,FM-3.3,11,0.975,40,0.925,1.0
cross_family_3,FM-3.3,12,0.975,40,0.925,1.0
cross_family_3,FM-3.3,13,0.975,40,0.925,1.0
cross_family_3,FM-3.3,14,0.975,40,0.925,1.0
cross_family_3,FM-3.3,15,0.975,40,0.925,1.0
cross_family_3,FM-3.3,16,0.975,40,0.925,1.0
cross_family_3,FM-3.3,17,0.975,40,0.925,1.0
cross_family_3,FM-3.3,18,0.975,40,0.925,1.0
cross_family_3,FM-3.3,19,0.975,40,0.925,1.0
cross_family_3,FM-3.3,20,0.975,40,0.925,1.0
cross_family_3,FM-3.3,21,0.975,40,0.925,1.0
cross_family_3,FM-3.3,22,0.975,40,0.925,1.0
cross_family_3,FM-3.3,23,0.975,40,0.925,1.0
cross_family_3,FM-3.3,24,0.975,40,0.925,1.0
cross_family_3,FM-3.3,25,0.975,40,0.925,1.0
cross_family_3,FM-3.3,26,0.975,40,0.925,1.0
cross_family_3,FM-3.3,27,0.975,40,0.925,1.0
cross_family_3,FM-3.3,28,0.975,40,0.925,1.0
cross_family_3,FM-3.3,29,0.975,40,0.925,1.0
cross_family_3,FM-3.3,30,0.975,40,0.925,1.0
cross_family_3,FM-3.3,31,0.975,40,0.925,1.0
cross_family_3,FM-3.3,32,0.975,40,0.925,1.0
cross_family_3,FM-3.3,33,0.975,40,0.925,1.0
cross_family_3,FM-3.3,34,0.975,40,0.925,1.0
cross_family_3,FM-3.3,35,1.0,40,1.0,1.0
cross_family_3,FM-3.3,36,1.0,40,1.0,1.0
cross_family_3,FM-3.3,37,1.0,40,1.0,1.0
cross_family_3,FM-3.3,38,1.0,40,1.0,1.0
cross_family_3,FM-3.3,39,1.0,40,1.0,1.0
cross_family_3,FM-3.3,40,1.0,40,1.0,1.0
cross_family_3,FM-3.3,41,1.0,40,1.0,1.0
cross_family_3,FM-3.3,42,1.0,40,1.0,1.0
cross_family_3,FM-3.3,43,1.0,40,1.0,1.0
cross_family_3,FM-3.3,44,1.0,40,1.0,1.0
cross_family_3,FM-3.3,45,1.0,40,1.0,1.0
cross_family_3,FM-3.3,46,1.0,40,1.0,1.0
cross_family_3,FM-3.3,47,1.0,40,1.0,1.0
cross_family_3,FM-3.3,48,1.0,40,1.0,1.0
cross_family_3,FM-3.3,49,1.0,40,1.0,1.0
cross_family_3,FM-3.3,50,1.0,40,1.0,1.0
diverse_matched,FM-3.3,1,0.525,40,0.375,0.675
diverse_matched,FM-3.3,2,0.75,40,0.625,0.875
diverse_matched,FM-3.3,3,0.75,40,0.625,0.875
diverse_matched,FM-3.3,4,0.75,40,0.625,0.875
diverse_matched,FM-3.3,5,0.8,40,0.675,0.925
diverse_matched,FM-3.3,6,0.875,40,0.775,0.975
diverse_matched,FM-3.3,7,0.875,40,0.775,0.975
diverse_matched,FM-3.3,8,0.875,40,0.775,0.975
diverse_matched,FM-3.3,9,0.925,40,0.825,1.0
diverse_matched,FM-3.3,10,0.95,40,0.875,1.0
diverse_matched,FM-3.3,11,0.95,40,0.875,1.0
diverse_matched,FM-3.3,12,0.95,40,0.875,1.0
diverse_matched,FM-3.3,13,0.95,40,0.875,1.0
diverse_matched,FM-3.3,14,0.975,40,0.925,1.0
diverse_matched,FM-3.3,15,0.975,40,0.925,1.0
diverse_matched,FM-3.3,16,1.0,40,1.0,1.0
diverse_matched,FM-3.3,17,1.0,40,1.0,1.0
diverse_matched,FM-3.3,18,1.0,40,1.0,1.0
diverse_matched,FM-3.3,19,1.0,40,1.0,1.0
diverse_matched,FM-3.3,20,1.0,40,1.0,1.0
diverse_matched,FM-3.3,21,1.0,40,1.0,1.0
diverse_matched,FM-3.3,22,1.0,40,1.0,1.0
diverse_matched,FM-3.3,23,1.0,40,1.0,1.0
diverse_matched,FM-3.3,24,1.0,40,1.0,1.0
diverse_matched,FM-3.3,25,1.0,40,1.0,1.0
diverse_matched,FM-3.3,26,1.0,40,1.0,1.0
diverse_matched,FM-3.3,27,1.0,40,1.0,1.0
diverse_matched,FM-3.3,28,1.0,40,1.0,1.0
diverse_matched,FM-3.3,29,1.0,40,1.0,1.0
diverse_matched,FM-3.3,30,1.0,40,1.0,1.0
diverse_matched,FM-3.3,31,1.0,40,1.0,1.0
diverse_matched,FM-3.3,32,1.0,40,1.0,1.0
diverse_matched,FM-3.3,33,1.0,40,1.0,1.0
diverse_matched,FM-3.3,34,1.0,40,1.0,1.0
diverse_matched,FM-3.3,35,1.0,40,1.0,1.0
diverse_matched,FM-3.3,36,1.0,40,1.0,1.0
diverse_matched,FM-3.3,37,1.0,40,1.0,1.0
diverse_matched,FM-3.3,38,1.0,40,1.0,1.0
diverse_matched,FM-3.3,39,1.0,40,1.0,1.0
diverse_matched,FM-3.3,40,1.0,40,1.0,1.0
diverse_matched,FM-3.3,41,1.0,40,1.0,1.0
diverse_matched,FM-3.3,42,1.0,40,1.0,1.0
diverse_matched,FM-3.3,43,1.0,40,1.0,1.0
diverse_matched,FM-3.3,44,1.0,40,1.0,1.0
diverse_matched,FM-3.3,45,1.0,40,1.0,1.0
diverse_matched,FM-3.3,46,1.0,40,1.0,1.0
diverse_matched,FM-3.3,47,1.0,40,1.0,1.0
diverse_matched,FM-3.3,48,1.0,40,1.0,1.0
diverse_matched,FM-3.3,49,1.0,40,1.0,1.0
diverse_matched,FM-3.3,50,1.0,40,1.0,1.0
qwen_flip,FM-3.3,1,0.15,40,0.05,0.275
qwen_flip,FM-3.3,2,0.175,40,0.075,0.3
qwen_flip,FM-3.3,3,0.625,40,0.475,0.775
qwen_flip,FM-3.3,4,0.625,40,0.475,0.775
