pairing_condition,failure_mode_id,k,reliability,n,ci_low,ci_high
same_model,FM-3.3,1,0.175,40,0.075,0.3
same_model,FM-3.3,2,0.225,40,0.1,0.35
same_model,FM-3.3,3,0.225,40,0.1,0.35
same_model,FM-3.3,4,0.25,40,0.125,0.375
same_model,FM-3.3,5,0.3,40,0.15,0.45
same_model,FM-3.3,6,0.3,40,0.15,0.45
same_model,FM-3.3,7,0.3,40,0.15,0.45
same_model,FM-3.3,8,0.3,40,0.15,0.45
same_model,FM-3.3,9,0.3,40,0.15,0.45
same_model,FM-3.3,10,0.3,40,0.15,0.45
same_model,FM-3.3,11,0.325,40,0.175,0.475
same_model,FM-3.3,12,0.325,40,0.175,0.475
same_model,FM-3.3,13,0.325,40,0.175,0.475
same_model,FM-3.3,14,0.325,40,0.175,0.475
same_model,FM-3.3,15,0.325,40,0.175,0.475
same_model,FM-3.3,16,0.325,40,0.175,0.475
same_model,FM-3.3,17,0.35,40,0.2,0.5
same_model,FM-3.3,18,0.35,40,0.2,0.5
same_model,FM-3.3,19,0.35,40,0.2,0.5
same_model,FM-3.3,20,0.35,40,0.2,0.5
same_model,FM-3.3,21,0.375,40,0.225,0.525
same_model,FM-3.3,22,0.375,40,0.225,0.525
same_model,FM-3.3,23,0.375,40,0.225,0.525
same_model,FM-3.3,24,0.375,40,0.225,0.525
same_model,FM-3.3,25,0.375,40,0.225,0.525
same_model,FM-3.3,26,0.375,40,0.225,0.525
same_model,FM-3.3,27,0.375,40,0.225,0.525
same_model,FM-3.3,28,0.375,40,0.225,0.525
same_model,FM-3.3,29,0.375,40,0.225,0.525
same_model,FM-3.3,30,0.375,40,0.225,0.525
same_model,FM-3.3,31,0.375,40,0.225,0.525
same_model,FM-3.3,32,0.375,40,0.225,0.525
same_model,FM-3.3,33,0.375,40,0.225,0.525
same_model,FM-3.3,34,0.375,40,0.225,0.525
same_model,FM-3.3,35,0.375,40,0.225,0.525
same_model,FM-3.3,36,0.375,40,0.225,0.525
same_model,FM-3.3,37,0.375,40,0.225,0.525
same_model,FM-3.3,38,0.375,40,0.225,0.525
same_model,FM-3.3,39,0.375,40,0.225,0.525
same_model,FM-3.3,40,0.375,40,0.225,0.525
same_model,FM-3.3,41,0.375,40,0.225,0.525
same_model,FM-3.3,42,0.375,40,0.225,0.525
same_model,FM-3.3,43,0.375,40,0.225,0.525
same_model,FM-3.3,44,0.375,40,0.225,0.525
same_model,FM-3.3,45,0.375,40,0.225,0.525
same_model,FM-3.3,46,0.375,40,0.225,0.525
same_model,FM-3.3,47,0.375,40,0.225,0.525
same_model,FM-3.3,48,0.375,40,0.225,0.525
same_model,FM-3.3,49,0.375,40,0.225,0.525
same_model,FM-3.3,50,0.375,40,0.225,0.525
