policy,k,catch,fa,U
CMV-SDSE,1,0.7122,0.2267,0.4856
CMV-SDSE,2,0.7122,0.2267,0.4856
CMV-SDSE,3,0.7122,0.2267,0.4856
CMV-SDSE,4,0.7122,0.2267,0.4856
accuracy,1,0.8889,0.6556,0.2333
accuracy,2,0.9456,0.7422,0.2033
accuracy,3,0.9544,0.7711,0.1833
accuracy,4,0.9544,0.7733,0.1811
low-correlation,1,0.8889,0.6556,0.2333
low-correlation,2,0.91,0.6756,0.2344
low-correlation,3,0.9344,0.7422,0.1922
low-correlation,4,0.9544,0.7733,0.1811
random,1,0.622,0.3389,0.2831
random,2,0.833,0.5545,0.2785
random,3,0.9229,0.6987,0.2241
random,4,0.9544,0.7733,0.1811
same-model,1,0.8889,0.6556,0.2333
same-model,2,0.8889,0.6556,0.2333
same-model,3,0.8889,0.6556,0.2333
same-model,4,0.8889,0.6556,0.2333
